,symbol,date,value
351,AAPL,20170810,2095.045661572952
352,AAPL,20170811,757.4529163581205
353,AAPL,20170814,2125.328999631017
354,AAPL,20170815,2713.8835333897605
355,AAPL,20170816,1734.8797477318383
356,AAPL,20170817,1630.8612999991924
357,AAPL,20170818,1018.8699814229257
358,AAPL,20170821,1408.0503212308674
359,AAPL,20170822,1545.4915244397655
360,AAPL,20170823,941.7507441022517
361,AAPL,20170824,1913.7233343085738
362,AAPL,20170825,2350.954312912777
363,AAPL,20170828,1483.5914419749379
364,AAPL,20170829,5677.170300244986
365,AAPL,20170830,1207.4460421920476
366,AAPL,20170831,1781.432787076921
367,AAPL,20170901,6227.8472576956865
368,AAPL,20170905,7022.067085985982
369,AAPL,20170906,973.4545667096207
370,AAPL,20170907,4542.968515518796
371,AAPL,20170908,3647.8145326173226
372,AAPL,20170911,1508.595795378011
373,AAPL,20170912,7997.444268406394
374,AAPL,20170913,3478.3680752833566
375,AAPL,20170914,2525.692149791221
376,AAPL,20170915,2626.806069829153
377,AAPL,20170918,6150.282880585909
378,AAPL,20170919,2642.427933179484
379,AAPL,20170920,4076.859289929431
380,AAPL,20170921,1165.9902313971313
381,AAPL,20170922,2702.420632843081
382,AAPL,20170925,3231.6667501318143
383,AAPL,20170926,2639.4976878285047
384,AAPL,20170927,1465.9989138286178
385,AAPL,20170928,2158.040947626074
386,AAPL,20170929,18039.6653095307
387,AAPL,20171002,3023.4897812018016
388,AAPL,20171003,2212.361563660692
389,AAPL,20171004,1905.0167474530665
390,AAPL,20171005,1448.9786529844205
391,AAPL,20171006,2219.6141100786745
392,AAPL,20171009,1440.8917288195994
393,AAPL,20171010,1212.1055288341593
394,AAPL,20171011,1624.353705905408
395,AAPL,20171012,3120.2719776612207
396,AAPL,20171013,20700.938476006275
397,AAPL,20171016,2309.5885836729135
398,AAPL,20171017,2127.1679147756167
399,AAPL,20171018,2688.3486487195287
400,AAPL,20171019,2226.244080136162
401,AAPL,20171020,3043.171733127347
402,AAPL,20171023,4389.733701218458
403,AAPL,20171024,1408.0791606923085
404,AAPL,20171025,1875.939929421239
405,AAPL,20171026,609.4961766753273
406,AAPL,20171027,1927.6868617269574
407,AAPL,20171030,3413.426754313573
408,AAPL,20171031,6545.098072081177
409,AAPL,20171101,3026.4948360982
410,AAPL,20171102,1710.8612582487938
411,AAPL,20171103,2505.7177123741053
412,AAPL,20171106,7560.8382333930695
413,AAPL,20171107,2287.3832247530954
414,AAPL,20171108,2452.810860209975
415,AAPL,20171109,3708.756329656499
416,AAPL,20171110,929.7282771487764
417,AAPL,20171113,1258.3416263244821
418,AAPL,20171114,2512.481512064236
419,AAPL,20171115,2355.281108076891
420,AAPL,20171116,3257.288168538104
421,AAPL,20171117,2144.8012594347106
422,AAPL,20171120,1033.707131637389
423,AAPL,20171121,1731.3109391222347
424,AAPL,20171122,1833.484576397727
425,AAPL,20171127,3305.572025770062
426,AAPL,20171128,2080.0912440840834
427,AAPL,20171129,2767.868324441414
428,AAPL,20171130,1110.5862524275108
429,AAPL,20171201,1675.9627271923089
430,AAPL,20171204,1611.0956783878212
431,AAPL,20171205,1591.2195326647145
432,AAPL,20171206,1662.9213565775015
433,AAPL,20171207,5575.776548129089
434,AAPL,20171208,2025.7477315625667
435,AAPL,20171211,953.8922412140823
436,AAPL,20171212,1146.3743875111506
437,AAPL,20171213,9395.363161207393
438,AAPL,20171214,1136.8556531134418
439,AAPL,20171215,3426.692492409437
440,AAPL,20171218,10441.913162335039
441,AAPL,20171219,3219.269708356744
442,AAPL,20171220,2171.6025265179524
443,AAPL,20171221,1129.9786358849399
444,AAPL,20171222,6944.558818959956
445,AAPL,20171226,14971.832589140831
446,AAPL,20171227,6086.345528569307
447,AAPL,20171228,3508.233772395564
448,ABBV,20170720,5563.429717381743
449,ABBV,20170721,4093.3302844434347
450,ABBV,20170724,3593.945718777024
451,ABBV,20170725,3902.601266586778
452,ABBV,20170726,2434.7262883559433
453,ABBV,20170727,1800.654552499498
454,ABBV,20170728,3405.6875080170594
455,ABBV,20170731,5280.755257959268
456,ABBV,20170801,3014.967644806758
457,ABBV,20170802,1466.4360000871484
458,ABBV,20170803,3214.2103958639386
459,ABBV,20170804,1194.4648490636087
460,ABBV,20170807,6761.63437953348
461,ABBV,20170808,2202.3375701710897
462,ABBV,20170809,1308.262254067688
463,ABBV,20170810,2397.8375410132944
464,ABBV,20170811,1544.0409527624229
465,ABBV,20170814,3642.906644793088
466,ABBV,20170815,3741.083913335068
467,ABBV,20170816,1817.1589276036184
468,ABBV,20170817,1350.725487689418
469,ABBV,20170818,3464.031550391571
470,ABBV,20170821,2320.725174406427
471,ABBV,20170822,4268.83034081317
472,ABBV,20170823,3895.3724892188993
473,ABBV,20170824,1754.3913350352802
474,ABBV,20170825,1627.0511434794332
475,ABBV,20170828,1451.583346051655
476,ABBV,20170829,2767.2258067594344
477,ABBV,20170830,1207.4967576152617
478,ABBV,20170831,7071.119857679813
479,ABBV,20170901,1092.7186330302434
480,ABBV,20170905,1660.2325125436973
481,ABBV,20170906,5711.7916698618465
482,ABBV,20170907,5359.96618872283
483,ABBV,20170908,1710.7490148316188
484,ABBV,20170911,2348.922755409697
485,ABBV,20170912,2222.0185802503465
486,ABBV,20170913,965.8698743614876
487,ABBV,20170914,1681.8763656094777
488,ABBV,20170915,2083.6092575419048
489,ABBV,20170918,1374.1828073963322
490,ABBV,20170919,1675.2050030146552
491,ABBV,20170920,1207.9305545139146
492,ABBV,20170921,4332.49377603583
493,ABBV,20170922,1774.0458493649494
494,ABBV,20170925,3106.842321953983
495,ABBV,20170926,2261.5381106841564
496,ABBV,20170927,4920.208485229914
497,ABBV,20170928,896.2501933885267
498,ABBV,20170929,1316.6408778755872
499,ABBV,20171002,2508.9623354577666
500,ABBV,20171003,1190.55356590302
501,ABBV,20171004,1623.7268319332302
502,ABBV,20171005,4767.768976139528
503,ABBV,20171006,1990.8163877410411
504,ABBV,20171009,1663.5790549415465
505,ABBV,20171010,1642.8728853916462
506,ABBV,20171011,1796.7514914095473
507,ABBV,20171012,1975.2527620324167
508,ABBV,20171013,3065.110124423597
509,ABBV,20171016,1279.8710058844604
510,ABBV,20171017,1236.615671715481
511,ABBV,20171018,4153.183766112346
512,ABBV,20171019,2901.6860627807396
513,ABBV,20171020,1086.143342918279
514,ABBV,20171023,1860.4182465150889
515,ABBV,20171024,3197.65251432069
516,ABBV,20171025,1493.5609507592378
517,ABBV,20171026,3166.3235461606737
518,ABBV,20171027,1830.8681650136543
519,ABBV,20171030,1299.928978404034
520,ABBV,20171031,3772.8579959572544
521,ABBV,20171101,1540.8409314481073
522,ABBV,20171102,1451.1732041982775
523,ABBV,20171103,3261.280118048665
524,ABBV,20171106,3504.3412225574934
525,ABBV,20171107,1211.3132026289934
526,ABBV,20171108,1971.5278757526294
527,ABBV,20171109,1274.4717925637613
528,ABBV,20171110,1385.2220512943907
529,ABBV,20171113,641.0846597836921
530,ABBV,20171114,1897.345162648013
531,ABBV,20171115,854.2582719518404
532,ABBV,20171116,1346.8058033775972
533,ABBV,20171117,1220.3989092745037
534,ABBV,20171120,1731.232070333933
535,ABBV,20171121,1609.1826201346832
536,ABBV,20171122,883.5413836468883
537,ABBV,20171127,1239.6933750170488
538,ABBV,20171128,2279.929206364715
539,ABBV,20171129,2043.4447249771538
540,ABBV,20171130,3348.2319304563675
541,ABBV,20171201,2444.684063611343
542,ABBV,20171204,821.3599594303438
543,ABBV,20171205,872.622803615441
544,ABBV,20171206,1051.7100546399665
545,ABBV,20171207,1793.003005950081
546,ABBV,20171208,3318.6860269545314
547,ABBV,20171211,1667.4993635486267
548,ABBV,20171212,1027.2519228253716
549,ABBV,20171213,692.3165732072982
550,ABBV,20171214,1212.5490856302556
551,ABBV,20171215,2410.403277052948
552,ABBV,20171218,530.766187794756
553,ABBV,20171219,1184.017854044178
554,ABBV,20171220,1098.3057973331386
555,ABBV,20171221,1795.0283247419857
556,ABBV,20171222,1334.8676640902397
557,ABBV,20171226,1608.9690123606213
558,ABBV,20171227,1013.2893694206107
559,ABBV,20171228,1043.3420855757736
560,ABC,20170720,3962.3688107179505
561,ABC,20170721,1671.8899758910661
562,ABC,20170724,1672.38551197583
563,ABC,20170725,3477.6044527512286
564,ABC,20170726,2314.1678727245635
565,ABC,20170727,1431.2798105793347
566,ABC,20170728,939.8854994499688
567,ABC,20170731,4632.141698184166
568,ABC,20170801,5553.675543843743
569,ABC,20170802,3169.0556534932703
570,ABC,20170803,2928.698599194424
571,ABC,20170804,4729.509826564338
572,ABC,20170807,1968.881912628857
573,ABC,20170808,1025.8697183391268
574,ABC,20170809,4570.397716059055
575,ABC,20170810,1437.0763313662135
576,ABC,20170811,1504.76875793843
577,ABC,20170814,1212.8898220907688
578,ABC,20170815,4815.958003994595
579,ABC,20170816,2003.6352615679714
580,ABC,20170817,1244.674804283957
581,ABC,20170818,1002.280479082716
582,ABC,20170821,1460.098595645653
583,ABC,20170822,2667.863740563363
584,ABC,20170823,1773.512424184636
585,ABC,20170824,2308.7020102024358
586,ABC,20170825,1206.0298000656885
587,ABC,20170828,1385.4528108191055
588,ABC,20170829,2360.908405453514
589,ABC,20170830,1944.4048672591268
590,ABC,20170831,2255.208323560265
591,ABC,20170901,3643.8275492863777
592,ABC,20170905,1481.434825620728
593,ABC,20170906,5238.634587195726
594,ABC,20170907,4963.187034527508
595,ABC,20170908,3455.147092062084
596,ABC,20170911,1599.91105882862
597,ABC,20170912,2492.7285222775936
598,ABC,20170913,1177.9742982644868
599,ABC,20170914,2014.7654725888888
600,ABC,20170915,4693.175786264185
601,ABC,20170918,1924.0671030010437
602,ABC,20170919,1204.7610006693258
603,ABC,20170920,5355.883187456521
604,ABC,20170921,1743.1794848116251
605,ABC,20170922,1181.3011339952486
606,ABC,20170925,3234.3181158988054
607,ABC,20170926,818.0272723922715
608,ABC,20170927,3793.143861494265
609,ABC,20170928,1220.5739489388523
610,ABC,20170929,1866.4774947646183
611,ABC,20171002,3268.421812930205
612,ABC,20171003,1487.0078788430947
613,ABC,20171004,3592.4769765014717
614,ABC,20171005,1811.736692351806
615,ABC,20171006,16684.60709302996
616,ABC,20171009,4406.288734095294
617,ABC,20171010,2841.50826353839
618,ABC,20171011,2423.453137882761
619,ABC,20171012,1010.7056095613472
620,ABC,20171013,39759.51772511301
621,ABC,20171016,9155.695976927558
622,ABC,20171017,3266.5462681948657
623,ABC,20171018,1644.6380639943818
624,ABC,20171019,3286.663532751076
625,ABC,20171020,2339.110021299159
626,ABC,20171023,1447.6254584587352
627,ABC,20171024,4933.882228505101
628,ABC,20171025,4598.822896943118
629,ABC,20171026,49228.195634006785
630,ABC,20171027,5630.893980349895
631,ABC,20171030,3855.2086480294215
632,ABC,20171031,2544.471635169245
633,ABC,20171101,2789.8797414794453
634,ABC,20171102,3755.913297024774
635,ABC,20171103,5003.7088050448065
636,ABC,20171106,6574.275537857787
637,ABC,20171107,5440.788150052427
638,ABC,20171108,10877.517298009778
639,ABC,20171109,1800.3396653820275
640,ABC,20171110,1067.5402945589276
641,ABC,20171113,28799.24320440194
642,ABC,20171114,2499.7950082125612
643,ABC,20171115,1888.521411898208
644,ABC,20171116,1545.0794583121517
645,ABC,20171117,1737.0840100398914
646,ABC,20171120,1229.008179347812
647,ABC,20171121,2076.1397089730044
648,ABC,20171122,3438.854992999026
649,ABC,20171127,2152.103654153152
650,ABC,20171128,2383.802602673532
651,ABC,20171129,1910.5380862185784
652,ABC,20171130,1301.3793794241951
653,ABC,20171201,837.6827934431369
654,ABC,20171204,1823.1226996408793
655,ABC,20171205,1957.181520147684
656,ABC,20171206,1994.8719002048363
657,ABC,20171207,1557.9703985866606
658,ABC,20171208,893.4358727190555
659,ABC,20171211,1271.3712456866003
660,ABC,20171212,1682.3946559665678
661,ABC,20171213,3173.4675360754068
662,ABC,20171214,2908.7361095579977
663,ABC,20171215,3572.5568724675495
664,ABC,20171218,3081.3134030554575
665,ABC,20171219,1805.6512391938193
666,ABC,20171220,1689.2046173450462
667,ABC,20171221,1054.0764383481476
668,ABC,20171222,7967.484122321153
669,ABC,20171226,1407.3101974938627
670,ABC,20171227,2009.037808017399
671,ABC,20171228,1790.6978332145468
672,ABMD,20170720,15814.062898348584
673,ABMD,20170721,5453.065209098563
674,ABMD,20170724,16501.045981886567
675,ABMD,20170725,8836.476849227623
676,ABMD,20170726,5420.616739437545
677,ABMD,20170727,3432.629405123628
678,ABMD,20170728,3604.694470392002
679,ABMD,20170731,1278.4023153043347
680,ABMD,20170801,1736.6403292026118
681,ABMD,20170802,4478.996983814152
682,ABMD,20170803,4341.255827631265
683,ABMD,20170804,5173.793868080731
684,ABMD,20170807,8815.706495768345
685,ABMD,20170808,4969.4148519668925
686,ABMD,20170809,2437.585615226057
687,ABMD,20170810,3879.3547662365063
688,ABMD,20170811,2453.662604228589
689,ABMD,20170814,3595.7928381484676
690,ABMD,20170815,6322.179140663872
691,ABMD,20170816,25255.296925335835
692,ABMD,20170817,2250.3654998628
693,ABMD,20170818,3532.734960060438
694,ABMD,20170821,1273.903241990751
695,ABMD,20170822,33183.72929889242
696,ABMD,20170823,18727.82424678787
697,ABMD,20170824,5431.237592679806
698,ABMD,20170825,2059.7644987457206
699,ABMD,20170828,9181.935174205537
700,ABMD,20170829,4770.26390347433
701,ABMD,20170830,3430.206601273001
702,ABMD,20170831,4625.436830013451
703,ABMD,20170901,10243.782821130128
704,ABMD,20170905,1594.0150366867526
705,ABMD,20170906,3029.704993281115
706,ABMD,20170907,6838.857445520245
707,ABMD,20170908,5902.363638573743
708,ABMD,20170911,16440.997387784722
709,ABMD,20170912,2786.922712089781
710,ABMD,20170913,4776.324774915448
711,ABMD,20170914,3399.7110263039704
712,ABMD,20170915,41179.34292376089
713,ABMD,20170918,6003.624094357599
714,ABMD,20170919,9072.829034333103
715,ABMD,20170920,14667.124759175882
716,ABMD,20170921,6029.346053745502
717,ABMD,20170922,12625.7152603133
718,ABMD,20170925,6452.959264810068
719,ABMD,20170926,1784.3369419366695
720,ABMD,20170927,5048.526831879639
721,ABMD,20170928,3847.9587731458914
722,ABMD,20170929,3874.6282723531995
723,ABMD,20171002,1320.2405067673328
724,ABMD,20171003,5242.334121833828
725,ABMD,20171004,3644.453379081235
726,ABMD,20171005,2594.077706746967
727,ABMD,20171006,2103.0413873923517
728,ABMD,20171009,6263.3846961084655
729,ABMD,20171010,2213.0114803542233
730,ABMD,20171011,28119.461619733986
731,ABMD,20171012,2009.789122896972
732,ABMD,20171013,15316.353074090952
733,ABMD,20171016,4495.083244600659
734,ABMD,20171017,8949.709324957337
735,ABMD,20171018,24518.02207981801
736,ABMD,20171019,8565.62208494725
737,ABMD,20171020,5868.4697726694285
738,ABMD,20171023,3451.372859213768
739,ABMD,20171024,7529.095826073562
740,ABMD,20171025,3596.451252020262
741,ABMD,20171026,2166.934932840936
742,ABMD,20171027,3611.6709100277844
743,ABMD,20171030,3441.9207291224006
744,ABMD,20171031,1216.051933544117
745,ABMD,20171101,5423.494935844539
746,ABMD,20171102,2282.2238880533228
747,ABMD,20171103,15694.176071218544
748,ABMD,20171106,7225.7512774933775
749,ABMD,20171107,3444.008524293878
750,ABMD,20171108,4724.359684554653
751,ABMD,20171109,6765.4744836057025
752,ABMD,20171110,5861.446805584047
753,ABMD,20171113,11483.098004267329
754,ABMD,20171114,7691.9791485707
755,ABMD,20171115,2323.930476100282
756,ABMD,20171116,3793.4478494628643
757,ABMD,20171117,1997.6361651898105
758,ABMD,20171120,2697.447070398244
759,ABMD,20171121,3397.2685246027127
760,ABMD,20171122,5556.546134025018
761,ABMD,20171127,11509.11869571898
762,ABMD,20171128,1708.0473012589732
763,ABMD,20171129,2781.382839272977
764,ABMD,20171130,2122.9699193914357
765,ABMD,20171201,10124.77903330257
766,ABMD,20171204,11418.466845948336
767,ABMD,20171205,3280.066721299648
768,ABMD,20171206,4121.631929624844
769,ABMD,20171207,3216.3074802486663
770,ABMD,20171208,46685.72073162492
771,ABMD,20171211,4009.9241433822654
772,ABMD,20171212,3552.0999772607274
773,ABMD,20171213,4252.262524825047
774,ABMD,20171214,25225.005301064793
775,ABMD,20171215,3729.574766550319
776,ABMD,20171218,3248.2441841988043
777,ABMD,20171219,4566.960317070172
778,ABMD,20171220,2037.644248953288
779,ABMD,20171221,6974.660887704188
780,ABMD,20171222,1732.3111035022464
781,ABMD,20171226,234324.07380962654
782,ABMD,20171227,4015.7822372545397
783,ABMD,20171228,3171.638811437028
784,ABT,20170720,5711.192035403111
785,ABT,20170721,2122.5747526204996
786,ABT,20170724,1202.0258797891447
787,ABT,20170725,2619.984553004015
788,ABT,20170726,2857.1499612686403
789,ABT,20170727,2090.3987044012374
790,ABT,20170728,4481.7601718528695
791,ABT,20170731,1653.103091353142
792,ABT,20170801,3812.7463171473423
793,ABT,20170802,3745.4313604586246
794,ABT,20170803,1900.8002836426333
795,ABT,20170804,2519.829035170184
796,ABT,20170807,2802.8884804321287
797,ABT,20170808,3475.6440993516726
798,ABT,20170809,1459.523926474789
799,ABT,20170810,1892.7385201987595
800,ABT,20170811,6439.884185111535
801,ABT,20170814,7458.828812942783
802,ABT,20170815,3718.0459126176847
803,ABT,20170816,3565.2200469502886
804,ABT,20170817,1255.132976369048
805,ABT,20170818,1252.4145297139437
806,ABT,20170821,4421.594078727941
807,ABT,20170822,2591.0121742772712
808,ABT,20170823,2947.121658683926
809,ABT,20170824,2559.6997117930714
810,ABT,20170825,5233.265729370604
811,ABT,20170828,1679.8053469888494
812,ABT,20170829,1678.7042750487324
813,ABT,20170830,2484.1675978459743
814,ABT,20170831,2677.0176828979215
815,ABT,20170901,2328.330410171403
816,ABT,20170905,1214.8265199216155
817,ABT,20170906,11348.12748184238
818,ABT,20170907,2509.7713749502136
819,ABT,20170908,4791.7265692460205
820,ABT,20170911,3805.125363145641
821,ABT,20170912,2750.2513954022174
822,ABT,20170913,5735.453958943468
823,ABT,20170914,3635.0089223527657
